ResultID,ConditionID,Field1,Field2,FieldtTypeID,NotificationID,Message,LanguageCode,Explanation,Label
234,6,AppointmentDate,pastDate,1,1, ጉዳዩ በሂደት ላይ ስለሆነ፣ ውጤቱ ዝግጁ ሲሆን የጽሁፍ መልእክት (SMS) ወይም ውጤቱ የሚወስዱበት የቀጠሮ ቀን በዚህ ድህረ-ገጽ ላይ ይገኛል <br/><br/> እባክዎን ከእርስዎ ጋር ለመገናኝት የምንጠቀምበት የሞባይል ቁጥርዎ ዋናው መስመር መሆኑን እና የእውቂያ ዝርዝሮችዎ ወቅታዊ ስለመሆናቸው አስፈላጊ ነው። ስለሆነም እባክዎን በመረጃ ክፍላችን ውስጥ ያለው የስልክ ቁጥርዎ እንደ {1} ተመዝግቧል። ይህ ቁጥር / እነዚህ ቁጥሮች ትክክል ካልሆኑ ወይም የስልክ ቁጥርዎን ከቀየሩ እባክዎን አዲሱን ቁጥርዎን በዚህ ድር ጣቢያ ማስታወቂያ ገጽ ላይ የሚገኙትን የጥሪ ማዕከሉን ያነጋግሩ።,am-ET,በመጀመሪያ ደረጃ ሂደት ላይ ላሉ አመልካቾች ወይም<br/>ይግባኝ ሂደት ላይ ላሉ አመልካቾች ወይም<br/>ድጋሚ የማስከፈት ሂደት ላይ ላሉ ኣመልካቾች።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
244,1,AppointmentDate,Now(),1,10,የ አር.ኤስ.ዲ(RSD) ሂደት ተጠናቅቋል።,am-ET,ዕውቅናቸው ለተረጋገጠ እና እንዲያውቁ ለተደረጉ አመልካቾች እና<br/>ይግባኝ ውድቅ ለተደረገባቸው እና የመጨረሻ ውድቅ ውሳኔ መደረጋቸውን ላወቁ አመልካቾች።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
238,1,AppointmentDate,noDate,1,10,የ አር.ኤስ.ዲ(RSD) ሂደት ተጠናቅቋል።,am-ET,ዕውቅናቸው ለተረጋገጠ እና እንዲያውቁ ለተደረጉ አመልካቾች እና<br/>ይግባኝ ውድቅ ለተደረገባቸው እና የመጨረሻ ውድቅ ውሳኔ መደረጋቸውን ላወቁ አመልካቾች።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
186,5,AppointmentDate,Now(),1,9,N/A,am-ET,NULL,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
250,1,AppointmentDate,pastDate,1,10,የ አር.ኤስ.ዲ(RSD) ሂደት ተጠናቅቋል።,am-ET,ዕውቅናቸው ለተረጋገጠ እና እንዲያውቁ ለተደረጉ አመልካቾች እና<br/>ይግባኝ ውድቅ ለተደረገባቸው እና የመጨረሻ ውድቅ ውሳኔ መደረጋቸውን ላወቁ አመልካቾች።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
256,1,AppointmentDate,noDate,1,11,የእርስዎ ጉዳይ ታግቷል/ ተዘግቷል። የጉዳይዎ እንደገና ለማስጀመር / ስለመክፈት መጠየቅ ከፈለጉ እባክዎ በዚህ ድረ ገጽ ማስታወቂያ ገጽ ላይ የሚገኙትን የስልክ ማዕከሉን ያነጋግሩ።,am-ET,የሚመለከታቸው አመልካቾች ለተወሰኑ ጊዜያት ያክል የ UNHCR መታወቂያቸውን ሳያሳድሱ ጉዳያችው ለታገተ/ለተዘጋ።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
262,1,AppointmentDate,Now(),1,11,የእርስዎ ጉዳይ ታግቷል/ ተዘግቷል። የጉዳይዎ እንደገና ለማስጀመር / ስለመክፈት መጠየቅ ከፈለጉ እባክዎ በዚህ ድረ ገጽ ማስታወቂያ ገጽ ላይ የሚገኙትን የስልክ ማዕከሉን ያነጋግሩ።,am-ET,የሚመለከታቸው አመልካቾች ለተወሰኑ ጊዜያት ያክል የ UNHCR መታወቂያቸውን ሳያሳድሱ ጉዳያችው ለታገተ/ለተዘጋ።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
268,1,AppointmentDate,pastDate,1,11,የእርስዎ ጉዳይ ታግቷል/ ተዘግቷል። የጉዳይዎ እንደገና ለማስጀመር / ስለመክፈት መጠየቅ ከፈለጉ እባክዎ በዚህ ድረ ገጽ ማስታወቂያ ገጽ ላይ የሚገኙትን የስልክ ማዕከሉን ያነጋግሩ።,am-ET,የሚመለከታቸው አመልካቾች ለተወሰኑ ጊዜያት ያክል የ UNHCR መታወቂያቸውን ሳያሳድሱ ጉዳያችው ለታገተ/ለተዘጋ።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
280,1,AppointmentDate,Now(),1,12,የ እርስዎ አር ሲ ዲ (RSD) ቃለ-መጠይቅ የቀጠሮ ቀን ተቀይሯል። አዲስ ቀጠሮ ቀን ሲዘጋጅሎት ይደወሎታል። እንዲሁም አዲሱን የቀጠሮ ቀን በዚህ ድህረ-ገፅ ላይ ማየት ይቻላሉ።<BR/>እባክዎን ከእርስዎ ጋር ለመገናኘት የምንጠቀምበት የሞባይል ቁጥርዎ ዋናው መስመር መሆኑን እና የስልክ ቁጥርዎ ዝርዝሮችዎ ወቅታዊ ስለመሆናቸው በጣም አስፈላጊ ነው። ስለሆነም እባክዎን በመረጃ ክፍላችን ውስጥ ያለው የስልክ ቁጥርዎ እንደ {1} ሆኖ ተመዝግቧል።  ይህ ቁጥር / እነዚህ ቁጥሮች / ትክክል ካልሆኑ ወይም የስልክ ቁጥርዎን ከቀየሩ እባክዎ በዚህ ድር ጣቢያ ማስታወቂያ ገጽ ላይ የሚገኙትን የጥሪ ማዕከሉን ያነጋግሩ።,am-ET,የቀጠሮ ቀን ለተቀየረባቸው አመልካቾች,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
286,1,AppointmentDate,pastDate,1,12,የ እርስዎ አር ሲ ዲ (RSD) ቃለ-መጠይቅ የቀጠሮ ቀን ተቀይሯል። አዲስ ቀጠሮ ቀን ሲዘጋጅሎት ይደወሎታል። እንዲሁም አዲሱን የቀጠሮ ቀን በዚህ ድህረ-ገፅ ላይ ማየት ይቻላሉ።<BR/>እባክዎን ከእርስዎ ጋር ለመገናኘት የምንጠቀምበት የሞባይል ቁጥርዎ ዋናው መስመር መሆኑን እና የስልክ ቁጥርዎ ዝርዝሮችዎ ወቅታዊ ስለመሆናቸው በጣም አስፈላጊ ነው። ስለሆነም እባክዎን በመረጃ ክፍላችን ውስጥ ያለው የስልክ ቁጥርዎ እንደ {1} ሆኖ ተመዝግቧል።  ይህ ቁጥር / እነዚህ ቁጥሮች / ትክክል ካልሆኑ ወይም የስልክ ቁጥርዎን ከቀየሩ እባክዎ በዚህ ድር ጣቢያ ማስታወቂያ ገጽ ላይ የሚገኙትን የጥሪ ማዕከሉን ያነጋግሩ።,am-ET,የቀጠሮ ቀን ለተቀየረባቸው አመልካቾች,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
101,1,AppointmentDate,noDate,1,13,"የእርስዎ የ ስድተኝነት እውቅና ሂደት (ሰማያዊ ካርድ) ቃለ መጠይቅ ቀጠሮ ቀን {0} ላይ ነው። የአሠራር ሂደቱ በስልክ ጥሪ ወይም በተቀበሉት የፅሁፍ መልክት ሊብራራልዎት ይገባል።  እባክዎን ከእርስዎ ጋር ለመገናኘት የምንጠቀምበት የሞባይል ቁጥርዎ ዋናው መስመር መሆኑን እና የስልክ ቁጥርዎ ዝርዝሮችዎ ወቅታዊ ስለመሆናቸው በጣም አስፈላጊ ነው። ስለሆነም እባክዎን በመረጃ ክፍላችን ውስጥ ያለው የስልክ ቁጥርዎ እንደ {1} ሆኖ ተመዝግቧል።  ይህ ቁጥር / እነዚህ ቁጥሮች / ትክክል ካልሆኑ ወይም የስልክ ቁጥርዎን ከቀየሩ እባክዎ በዚህ ድር ጣቢያ ማስታወቂያ ገጽ ላይ የሚገኙትን የጥሪ ማዕከሉን ያነጋግሩ።
",am-ET,ለወደፊቱ የአር.ኤስ.ዲ (RSD) ቀጠሮ ላላቸው አመልካቾች ወይም<br/>የአር.ኤስ.ዲ (RSD) ቀጠሮ ላለፋቸው አመልካቾች።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
199,5,AppointmentDate,Now(),1,5,የይግባኝ ቃለ-መጠይቅ ቀጠሮዎ ቀን ላይ ነው ፣ {0} ፣ ስለ ሂደቱ በስልክ ወይም በተቀበሉት የጽሁፍ መልክት ይብራራልዎታል። እባክዎን ከእርስዎ ጋር ለመገናኝት የምንጠቀምበት የሞባይል ቁጥርዎ ዋናው መስመር መሆኑን እና የእውቂያ ዝርዝሮችዎ ወቅታዊ ስለመሆናቸው አስፈላጊ ነው። ስለሆነም እባክዎን በመረጃ ክፍላችን ውስጥ ያለው የስልክ ቁጥርዎ እንደ {1} ተመዝግቧል። ይህ ቁጥር / እነዚህ ቁጥሮች ትክክል ካልሆኑ ወይም የስልክ ቁጥርዎን ከቀየሩ እባክዎን አዲሱን ቁጥርዎን በዚህ ድር ጣቢያ ማስታወቂያ ገጽ ላይ የሚገኙትን የጥሪ ማዕከሉን ያነጋግሩ።,am-ET,ለወደፊቱ  የይግባኝ ለቃለ መጠይቅ ቀጠሮ ላላቸው አመልካቾች ወይም<br/>የይግባኝ ቃለ መጠይቅ ቀጠሮ ላለፋቸው ኣመልካቾች።,ለተጨማሪ ዝርዝሮች እዚህ ጠቅ ያድርጉ
